Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.9888527531681058,0.9642722198738797,0.9943796695626759,0.9943757775669397,0.9873921319979411
CC,0.9889913533067061,0.9663503592964174,0.9944497480198311,0.99444609662795,0.9875168146122503
RAkEL,0.9901688793804976,0.9705075007979571,0.9950486862128163,0.9950456276072156,0.989393926323387
EDL-ECC,0.99286885033773,0.9817228974905324,0.9964182151642456,0.996416226279867,0.99286885033773
EDL-RAkEL,0.99286885033773,0.9817228974905324,0.9964182151642456,0.996416226279867,0.99286885033773
