Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.8164768483943241,0.5375466766243464,0.6429086794717397,0.5430966587445133,0.5992064973861091
CC,0.8193707991038088,0.5606609410007468,0.6487976852402877,0.5469778834040635,0.6136482449589246
RAkEL,0.8343073188946976,0.6609036594473487,0.6705252739230294,0.5537143465862597,0.6676437640029873
EDL-ECC,0.8391336818521286,0.5896751306945482,0.6966587351786593,0.6187297272147939,0.6619025392083644
EDL-RAkEL,0.25192774458551154,0.0,0.402462765403443,0.3793409982593866,0.25192774458551154
