Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.855315279958137,0.12677655677655678,0.30422071555407604,0.2111827485909546,0.2337423687423687
CC,0.8592320774463632,0.15030350601779174,0.3060378380080735,0.21187735469752794,0.24990493633350774
RAkEL,0.8644283097854526,0.14417059131344848,0.3114762350382576,0.21281083754593152,0.24493738008023724
EDL-ECC,0.8857312925170067,0.20958137100994242,0.3691512109462499,0.21881566734794378,0.29858320251177395
EDL-RAkEL,0.08989665096807956,0.0,0.16496160108894342,0.15469981931512714,0.08989665096807956
