Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.684138085704997,0.0537874510206526,0.6097901412489384,0.6034090681973951,0.4539671610251278
CC,0.6754762882515566,0.05544205465154082,0.5985699534635834,0.5947662873786255,0.4511974413273115
RAkEL,0.6630418283015685,0.057515014629639136,0.6037240309429543,0.5972895993029779,0.4504671560314238
EDL-ECC,0.717297684434895,0.07323118251972008,0.6408928423973304,0.6290442643602724,0.4880836191130837
EDL-RAkEL,0.3637647549138232,0.0,0.5334615581775392,0.53017716691109,0.36376475491382326
