,1-HL,SubAcc,Micro-F1,Macro-F1,Jaccard
BR,0.684,0.0538,0.6097,0.6033,0.4539
CC,0.6756,0.0554,0.5987,0.5949,0.4513
EDL-ECC,0.695,0.0604,0.6345,0.623,0.4822
