Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.840170291519376,0.0833879594679259,0.335641245819582,0.1888066819224692,0.2585897938507566
CC,0.8572119442243865,0.1323272804469505,0.29055009999805004,0.16815276620613942,0.24943396796302336
RAkEL,0.8514397703409307,0.10044891809186511,0.3360456527892687,0.18805651874006662,0.2662785794788684
EDL-ECC,0.8952720470265556,0.19735982312523623,0.4267942307067655,0.22669023929347096,0.3451144559910112
EDL-RAkEL,0.08465120269957405,0.0,0.15608495574101072,0.14288765950412396,0.084651202699574
