Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.6870870870870871,0.17297297297297295,0.6650464200753241,0.6285022866707745,0.4188888888888889
CC,0.687987987987988,0.19819819819819823,0.6793362119263298,0.633859120885213,0.44957957957957956
RAkEL,0.6783783783783784,0.17477477477477477,0.655501826664443,0.6143485826702476,0.42879879879879884
EDL-ECC,0.7126126126126126,0.16396396396396398,0.721274220846079,0.6587470469228105,0.5154954954954954
EDL-RAkEL,0.43243243243243246,0.02882882882882883,0.6034358895661553,0.5779495287504405,0.43243243243243246
