Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.5163072776280323,0.1867924528301887,0.6579097000926265,0.6524310915558551,0.4903742483931163
CC,0.4592991913746631,0.25566037735849056,0.5992997880981585,0.603770566591932,0.4263390697352962
RAkEL,0.5112533692722372,0.219811320754717,0.6516469638950104,0.6494421837643396,0.4833601147280393
EDL-ECC,0.9793800539083559,0.7320754716981132,0.9891147039508935,0.9778143419483465,0.9790275761973876
EDL-RAkEL,0.9400943396226416,0.23867924528301887,0.9691218673067322,0.9559253914224893,0.9400943396226417
