Model,1-HammingLoss,SubsetAcc,Micro-F1,Macro-F1,Jaccard
BR,0.790689121176926,0.275609756097561,0.4614664462521606,0.3729326882268059,0.3877564847077042
CC,0.790689121176926,0.27549361207897793,0.4635647422904746,0.3737279796318534,0.39089237320944636
RAkEL,0.7923151374370887,0.30476190476190473,0.4700214676503336,0.3852324369567442,0.41234998064266354
EDL-ECC,0.7987417731320171,0.2319396051103368,0.5434995687289266,0.4251787591864528,0.43913085559427023
EDL-RAkEL,0.20280681378242355,0.0,0.3370991838583407,0.30964214995291944,0.20280681378242355
